engagementKey,userKey,userId,learningMaterialKey,title,department,quizScore,learningMaterialCompletion[0].completed
83,80,670cca73e0941d56b05ee2d1,229,Concedo vere curso.,Data Engineering,93,True
84,81,670cca73e0941d56b05ee387,431,Vinculum armarium iusto alienus baiulus cogo.,Full Stack,54,False
85,82,670cca73e0941d56b05ee64a,971,Hic carpo verto veniam atavus attollo coaegresco.,Full Stack,72,False
86,83,670cca73e0941d56b05ee533,820,Minima argentum viriliter voco solum.,Full Stack,36,False
87,84,670cca73e0941d56b05ee48f,244,Acquiro cruciamentum id accusamus advoco turpis terga.,Data Engineering,75,True
88,85,670cca73e0941d56b05ee3a2,595,Adeptio conturbo autem suscipio averto.,Data Engineering,92,True
89,86,670cca73e0941d56b05ee5ff,441,Strues tutamen velit cunabula cogo.,Data Science,85,True
90,87,670cca73e0941d56b05ee63a,301,Demo tergeo cimentarius suadeo nostrum.,Data Engineering,5,True
91,88,670cca73e0941d56b05ee52a,510,Celer substantia depraedor vinum adversus mollitia totidem.,Full Stack,53,False
92,89,670cca73e0941d56b05ee442,551,Illo ducimus adstringo vulgus.,Data Science,100,True
93,90,670cca73e0941d56b05ee334,729,Thalassinus adversus stips conicio temporibus nobis bestia somnus.,Full Stack,89,False
94,91,670cca73e0941d56b05ee3f7,182,Umquam caput blanditiis certe audeo pecto ultio ater adeo.,Data Science,51,False
95,92,670cca73e0941d56b05ee540,506,Doloremque ustulo turbo truculenter amo eius fugiat.,Data Engineering,86,False
96,93,670cca73e0941d56b05ee5eb,321,Degero abbas tam virtus absque cogito.,Data Science,23,False
97,94,670cca73e0941d56b05ee611,523,Voluptatibus unde confido.,Data Engineering,9,True
98,95,670cca73e0941d56b05ee27f,326,Surgo vicinus aspernatur utrum.,Full Stack,83,False
99,96,670cca73e0941d56b05ee5ef,940,Alias capto ventosus cornu.,Data Engineering,54,True
100,97,670cca73e0941d56b05ee580,788,Patrocinor celebrer adeo tergum vomer officiis beatus sortitus adhaero agnitio.,Data Engineering,14,True
101,98,670cca73e0941d56b05ee414,35,Virga vester amoveo.,Full Stack,49,False
102,99,670cca73e0941d56b05ee329,894,Comparo cursus demitto damnatio nemo defendo bibo appositus.,Data Science,69,True
103,100,670cca73e0941d56b05ee281,729,Thalassinus adversus stips conicio temporibus nobis bestia somnus.,Full Stack,10,False
104,101,670cca73e0941d56b05ee2f7,386,Utique apparatus clam.,Full Stack,26,False
105,102,670cca73e0941d56b05ee46e,1000,Rem valde cibus.,Full Stack,95,True
106,103,670cca73e0941d56b05ee4e6,464,Rerum comprehendo taceo socius consectetur comminor cernuus aequitas.,Data Engineering,80,False
107,104,670cca73e0941d56b05ee5ba,746,Vestigium tamdiu audeo repellat paulatim condico tametsi.,Data Engineering,48,True
108,105,670cca73e0941d56b05ee5ed,521,Atrocitas amet amplitudo unus supellex ascit bonus stips.,Full Stack,93,False
109,106,670cca73e0941d56b05ee4d4,615,Annus audacia coaegresco terra.,Data Engineering,2,True
110,107,670cca73e0941d56b05ee4d6,727,Conduco crudelis cuppedia impedit dolores dolor necessitatibus.,Full Stack,81,True
111,108,670cca73e0941d56b05ee56c,969,Cibo defessus pecus caste debilito consuasor uberrime cicuta.,Full Stack,14,False
112,109,670cca73e0941d56b05ee3c2,918,Capto casso tergeo ait colo deporto surculus.,Full Stack,81,True
113,110,670cca73e0941d56b05ee39f,207,Sordeo adhuc tener crustulum spero libero decerno facilis.,Data Engineering,89,True
114,111,670cca73e0941d56b05ee4f4,939,Suscipio acer pectus consectetur demo comitatus sono vinum.,Full Stack,76,True
115,112,670cca73e0941d56b05ee47a,339,Subvenio uterque repellendus.,Data Science,44,False
116,113,670cca73e0941d56b05ee390,568,Dolorum alveus virga quam uredo tutamen.,Data Science,88,True
117,74,670cca73e0941d56b05ee4ae,814,Annus triduana comedo tamquam abscido delibero.,Data Engineering,31,True
118,114,670cca73e0941d56b05ee41e,730,Cado deludo tenetur urbanus cogo demitto ancilla urbs adfero repudiandae.,Full Stack,30,False
119,115,670cca73e0941d56b05ee5e6,87,Vigilo tutis cinis damnatio.,Data Engineering,77,False
120,116,670cca73e0941d56b05ee5ee,583,Consectetur tersus cumque apud debeo supra reiciendis uberrime agnitio.,Data Science,14,True
121,117,670cca73e0941d56b05ee3b4,372,Aegre adimpleo assumenda alias solvo.,Full Stack,48,True
122,118,670cca73e0941d56b05ee389,696,Vaco benevolentia versus velum thorax creta.,Data Science,42,False
123,119,670cca73e0941d56b05ee443,753,Virgo cibus demo communis terebro cenaculum.,Data Science,85,False
124,120,670cca73e0941d56b05ee280,5,Voco acervus vir coniecto accusantium.,Data Science,95,False
125,121,670cca73e0941d56b05ee590,201,Nihil ab sto cruentus claudeo caelestis.,Full Stack,85,False
126,122,670cca73e0941d56b05ee4bd,457,Cursus repudiandae exercitationem amplitudo.,Data Science,70,False
127,123,670cca73e0941d56b05ee5bf,378,Deripio accusator viscus defaeco addo aliquam pauci colligo terga.,Data Science,55,True
128,7,670cca73e0941d56b05ee307,482,Eum substantia admoveo.,Full Stack,83,True
129,124,670cca73e0941d56b05ee3c5,346,Ad suppono video sto sopor conventus viridis vorax tenetur.,Data Science,37,True
130,125,670cca73e0941d56b05ee541,179,Thema sint tutamen terreo decipio vacuus aestus.,Data Engineering,64,False
131,126,670cca73e0941d56b05ee53c,6,Combibo depono callide defleo nesciunt odio.,Full Stack,8,True
132,25,670cca73e0941d56b05ee357,147,Adficio crebro tabgo textilis amissio suspendo contra pariatur alo ambulo.,Data Science,74,True
133,127,670cca73e0941d56b05ee2e2,1000,Rem valde cibus.,Full Stack,81,False
134,128,670cca73e0941d56b05ee525,759,Derelinquo ipsa territo vulnero necessitatibus dolores defleo.,Full Stack,29,False
135,129,670cca73e0941d56b05ee62f,405,Claro solutio contra nisi.,Full Stack,9,False
136,130,670cca73e0941d56b05ee49c,610,Textilis apostolus cornu deleo acceptus degenero capitulus.,Data Science,53,True
137,131,670cca73e0941d56b05ee5f5,482,Eum substantia admoveo.,Full Stack,39,False
138,132,670cca73e0941d56b05ee50a,367,Confugo tamdiu circumvenio derideo ventosus cito valde ipsam pecco cotidie.,Full Stack,78,False
139,133,670cca73e0941d56b05ee3d0,112,Constans thalassinus enim thymbra apparatus.,Data Engineering,68,True
140,134,670cca73e0941d56b05ee64d,658,Voro clamo dignissimos alter.,Data Science,20,True
141,135,670cca73e0941d56b05ee627,64,Suscipio pel creo toties tibi.,Full Stack,90,False
142,136,670cca73e0941d56b05ee37d,420,Agnitio ab coma eos velociter suffoco terminatio.,Full Stack,71,True
143,137,670cca73e0941d56b05ee43c,548,Vulnus saepe canonicus aurum demo corrigo.,Data Engineering,53,True
144,138,670cca73e0941d56b05ee4cb,301,Demo tergeo cimentarius suadeo nostrum.,Data Engineering,32,False
145,139,670cca73e0941d56b05ee29a,596,Corpus carcer asperiores adduco enim supellex appositus.,Data Science,24,False
146,140,670cca73e0941d56b05ee571,700,Approbo cattus blandior denique aureus.,Full Stack,1,False
147,141,670cca73e0941d56b05ee3a4,35,Virga vester amoveo.,Full Stack,33,True
148,34,670cca73e0941d56b05ee477,595,Adeptio conturbo autem suscipio averto.,Data Engineering,23,True
149,142,670cca73e0941d56b05ee40c,150,Tam tantum vicissitudo libero unus curiositas valens civis supplanto.,Full Stack,48,False
150,143,670cca73e0941d56b05ee547,547,Uter contigo debilito spiculum chirographum vesica vigor solio ab stips.,Data Science,17,False
151,144,670cca73e0941d56b05ee43f,210,Tricesimus caute tactus aestivus creber.,Data Science,94,True
152,145,670cca73e0941d56b05ee43e,563,Clarus aliquid depopulo adulatio aequitas umquam arguo.,Data Science,75,False
153,146,670cca73e0941d56b05ee4b0,503,Sto quae asperiores.,Full Stack,46,False
154,147,670cca73e0941d56b05ee356,368,Certus tristis barba pecto magni audio crur casso.,Data Engineering,20,True
155,148,670cca73e0941d56b05ee347,927,Dedico cena concedo conventus.,Full Stack,10,True
156,149,670cca73e0941d56b05ee2a3,61,Astrum termes quae amplus ipsam.,Data Engineering,1,False
157,150,670cca73e0941d56b05ee3a7,364,Adhaero concedo adfectus acervus aliquid supra.,Data Science,84,True
158,151,670cca73e0941d56b05ee2db,20,Utrimque ventito in cruentus calculus comes.,Data Engineering,32,False
159,152,670cca73e0941d56b05ee52d,339,Subvenio uterque repellendus.,Data Science,15,True
160,153,670cca73e0941d56b05ee63d,325,Valeo curtus teneo decipio ut.,Full Stack,99,False
161,95,670cca73e0941d56b05ee27f,763,Capillus defaeco vilitas demo sumo aro caelestis acquiro adstringo utrum.,Full Stack,4,False
162,154,670cca73e0941d56b05ee61d,806,Voluptatum aiunt quos.,Full Stack,84,False
163,146,670cca73e0941d56b05ee4b0,111,Sonitus tenetur attonbitus deprimo temptatio defleo contigo.,Data Engineering,75,True
164,155,670cca73e0941d56b05ee3e8,201,Nihil ab sto cruentus claudeo caelestis.,Full Stack,1,False
165,156,670cca73e0941d56b05ee2b8,153,Capto toties degusto abeo fuga.,Full Stack,69,True
166,157,670cca73e0941d56b05ee2b5,153,Capto toties degusto abeo fuga.,Full Stack,51,True
167,158,670cca73e0941d56b05ee3e3,444,Certus corona volo culpo animi color.,Full Stack,56,False
168,56,670cca73e0941d56b05ee520,810,Conqueror hic agnitio vae at.,Data Science,71,True
169,159,670cca73e0941d56b05ee640,84,Admiratio absens defaeco tot cohaero tamen.,Data Science,36,False
170,160,670cca73e0941d56b05ee556,181,Tres tabgo amplexus thymbra vergo.,Data Engineering,36,False
171,161,670cca73e0941d56b05ee35b,192,Tui auctus cattus qui apud beatae.,Full Stack,8,True
172,162,670cca73e0941d56b05ee291,80,Tracto ocer apto sit arbitro defluo tersus volubilis utroque.,Data Science,40,True
173,163,670cca73e0941d56b05ee39b,776,Textilis laborum architecto tamen.,Full Stack,81,True
174,164,670cca73e0941d56b05ee487,273,Suus incidunt cibus ventosus vestrum uter subseco victoria culpa.,Data Engineering,79,False
175,117,670cca73e0941d56b05ee3b4,31,Accusantium angulus subiungo depono.,Data Science,47,True
176,26,670cca73e0941d56b05ee322,946,Tamen agnosco delectus crapula.,Full Stack,53,True
177,165,670cca73e0941d56b05ee4fc,434,Voluptatem ulterius congregatio assentator laboriosam ea acquiro solum.,Data Science,48,False
178,166,670cca73e0941d56b05ee59c,727,Conduco crudelis cuppedia impedit dolores dolor necessitatibus.,Full Stack,34,True
179,167,670cca73e0941d56b05ee3ca,576,Suspendo coma angelus maiores crudelis vulpes eveniet vester avaritia cubicularis.,Data Science,26,True
180,168,670cca73e0941d56b05ee3f6,822,Acceptus arto consequatur sulum volaticus dedico termes cumque crebro placeat.,Data Engineering,31,False
181,169,670cca73e0941d56b05ee3db,309,Templum deficio deprecator officiis aperio desidero.,Full Stack,78,False
182,170,670cca73e0941d56b05ee285,383,Creo sonitus damnatio comedo adflicto voco.,Full Stack,5,True
183,52,670cca73e0941d56b05ee549,998,Arbustum correptius debeo aequus sapiente universe crur.,Data Science,68,False
184,171,670cca73e0941d56b05ee57e,685,Natus ubi suadeo strenuus crebro amplus absque velociter adulescens.,Full Stack,68,True
185,172,670cca73e0941d56b05ee4e3,43,Blanditiis advenio temporibus cras.,Full Stack,66,True
186,173,670cca73e0941d56b05ee4d3,922,Clarus depraedor substantia suffragium.,Data Engineering,67,True
187,174,670cca73e0941d56b05ee4c0,477,Delicate aut verus somniculosus dedecor accusator.,Data Science,27,False
188,175,670cca73e0941d56b05ee3e2,907,Curso patruus bis aveho centum censura ex theatrum vulgo assentator.,Data Science,90,False
189,176,670cca73e0941d56b05ee2b2,645,Nostrum ceno advenio acer vestrum delicate tempora ulterius.,Data Engineering,70,False
190,177,670cca73e0941d56b05ee4c2,529,Suscipio ullus decimus vinum turba velociter repudiandae conitor video adhaero.,Data Science,67,True
191,178,670cca73e0941d56b05ee38c,25,Abutor depulso clementia una.,Data Engineering,41,False
192,179,670cca73e0941d56b05ee523,218,Summisse veritatis recusandae thema.,Data Science,67,False
193,62,670cca73e0941d56b05ee516,442,Summa una calco neque agnosco atqui infit nostrum cito.,Data Science,18,True
194,169,670cca73e0941d56b05ee3db,219,Claro sto artificiose colligo defungo.,Data Science,100,False
195,180,670cca73e0941d56b05ee2f4,425,Auditor bos conqueror verecundia ex caecus approbo delego.,Data Engineering,96,True
196,87,670cca73e0941d56b05ee63a,420,Agnitio ab coma eos velociter suffoco terminatio.,Full Stack,60,True
197,181,670cca73e0941d56b05ee610,817,Ter alveus aequus.,Data Science,81,True
198,182,670cca73e0941d56b05ee5c3,266,Cubitum dapifer comes tardus substantia utroque teneo repudiandae.,Data Science,62,True
199,183,670cca73e0941d56b05ee53b,490,Bos veritatis candidus tergiversatio cubo nulla cubitum hic.,Full Stack,96,False
200,184,670cca73e0941d56b05ee478,681,Iusto in conforto denego cras amplitudo.,Data Science,32,True
201,185,670cca73e0941d56b05ee5f7,33,Aggero sint deprimo asper temporibus supra coadunatio comedo.,Full Stack,29,False
202,186,670cca73e0941d56b05ee440,250,Patruus ocer curatio tergiversatio venustas correptius fugit curia.,Full Stack,77,True
203,187,670cca73e0941d56b05ee57d,168,Aro tui eaque administratio minus.,Full Stack,99,False
204,188,670cca73e0941d56b05ee4bf,13,Avaritia beneficium vae creo tepidus succedo succedo.,Full Stack,63,True
205,189,670cca73e0941d56b05ee5b2,835,Cresco aro astrum tunc copia.,Full Stack,9,False
206,190,670cca73e0941d56b05ee417,513,Absum tristis video urbs communis.,Data Science,18,True
207,191,670cca73e0941d56b05ee37b,898,Timidus depromo demoror debeo basium aliqua debeo ascit.,Data Science,91,True
208,192,670cca73e0941d56b05ee3df,591,Torrens asper decipio uter caelestis attollo.,Full Stack,52,True
209,144,670cca73e0941d56b05ee43f,883,Sed trepide suus clibanus.,Data Engineering,95,True
210,193,670cca73e0941d56b05ee594,871,Testimonium curatio approbo adeptio tempus.,Data Engineering,52,True
211,134,670cca73e0941d56b05ee64d,27,Decet sunt quis stillicidium ustilo necessitatibus thema trado civis tego.,Data Science,5,False
212,194,670cca73e0941d56b05ee501,427,Ullam tredecim acceptus adduco quibusdam.,Data Science,82,True
213,163,670cca73e0941d56b05ee39b,10,Defungo vita subseco adsum volaticus terga astrum.,Full Stack,33,True
214,195,670cca73e0941d56b05ee618,988,Nemo totidem ullam antiquus subito fugiat vivo compello acies.,Full Stack,45,False
215,115,670cca73e0941d56b05ee5e6,791,Laboriosam vesco a vergo arbor.,Full Stack,53,False
216,196,670cca73e0941d56b05ee650,914,Pax annus sequi commemoro possimus conduco.,Data Science,26,False
217,197,670cca73e0941d56b05ee41c,62,Ciminatio suffoco vix comis sol tabula acer.,Full Stack,86,True
218,198,670cca73e0941d56b05ee43b,695,Conqueror admitto textilis aurum arguo sufficio ipsa cursim talio turba.,Full Stack,86,True
219,30,670cca73e0941d56b05ee3d6,136,Antiquus dapifer uredo quia cuius victus vitium voveo summisse.,Data Science,39,False
220,199,670cca73e0941d56b05ee548,916,Ustulo cavus comitatus dolore subito adopto magnam teres.,Data Science,18,True
221,200,670cca73e0941d56b05ee57a,606,Talio verecundia tepesco clibanus.,Data Engineering,43,False
222,81,670cca73e0941d56b05ee387,199,Usitas pax corrupti vero.,Full Stack,4,False
223,201,670cca73e0941d56b05ee328,227,Capio tendo aeneus adsidue amplexus.,Full Stack,41,True
224,202,670cca73e0941d56b05ee31d,228,Quidem vicissitudo cenaculum quas aro commodi.,Full Stack,34,False
225,134,670cca73e0941d56b05ee64d,311,Venustas derelinquo copia villa strenuus arcesso sequi.,Data Science,80,False
226,203,670cca73e0941d56b05ee4ab,717,Venio cura volaticus arceo vestigium magni corona.,Data Engineering,51,False
227,137,670cca73e0941d56b05ee43c,418,Talis adipisci arma varietas verbum.,Data Engineering,99,False
228,86,670cca73e0941d56b05ee5ff,364,Adhaero concedo adfectus acervus aliquid supra.,Data Science,93,False
229,204,670cca73e0941d56b05ee449,338,Defluo calamitas sumptus attero vulnus vivo comprehendo solutio arcesso auxilium.,Data Engineering,5,False
230,205,670cca73e0941d56b05ee44b,264,Vulpes ab canto culpa acer advoco ancilla natus deinde clamo.,Data Engineering,69,True
231,180,670cca73e0941d56b05ee2f4,321,Degero abbas tam virtus absque cogito.,Data Science,26,False
232,181,670cca73e0941d56b05ee610,38,Clarus aureus calamitas canonicus tabgo sed.,Data Engineering,32,False
233,206,670cca73e0941d56b05ee64b,219,Claro sto artificiose colligo defungo.,Data Science,59,False
234,207,670cca73e0941d56b05ee3e9,133,Ipsa vinculum nisi calamitas teneo compello audio.,Data Engineering,37,True
235,208,670cca73e0941d56b05ee4eb,556,Iste deludo thema clamo tollo.,Data Engineering,97,False
236,146,670cca73e0941d56b05ee4b0,163,Coerceo tenuis terebro accusantium theca bibo audentia civis.,Full Stack,61,False
237,209,670cca73e0941d56b05ee486,527,Vulnero cruciamentum toties adeo ventosus degusto deficio talio subseco altus.,Data Engineering,48,False
238,210,670cca73e0941d56b05ee340,682,Angustus demergo adipisci confugo magnam vomer inflammatio.,Full Stack,99,False
239,211,670cca73e0941d56b05ee65c,319,Bibo ultra usque cedo.,Data Science,90,True
240,212,670cca73e0941d56b05ee288,386,Utique apparatus clam.,Full Stack,68,False
241,213,670cca73e0941d56b05ee45f,112,Constans thalassinus enim thymbra apparatus.,Data Engineering,22,False
242,9,670cca73e0941d56b05ee5b4,494,Vitiosus amplus color collum administratio rem terga tutis sol.,Full Stack,44,False
243,214,670cca73e0941d56b05ee2f2,471,Aiunt infit paulatim vereor alias creta auctus admiratio velut arto.,Data Science,63,False
244,179,670cca73e0941d56b05ee523,384,Aqua reprehenderit capto vel molestias aptus verbum arbitro.,Full Stack,28,False
245,215,670cca73e0941d56b05ee2fe,360,Abscido veritatis maxime denuo deleo delego.,Full Stack,60,True
246,216,670cca73e0941d56b05ee48a,201,Nihil ab sto cruentus claudeo caelestis.,Full Stack,79,False
247,217,670cca73e0941d56b05ee5b0,997,Ascisco tolero bonus usque incidunt consuasor verbera tempus.,Data Science,2,False
248,218,670cca73e0941d56b05ee372,963,Voluptates confido denuo aut accusator cur nisi caecus.,Data Engineering,24,False
249,219,670cca73e0941d56b05ee481,10,Defungo vita subseco adsum volaticus terga astrum.,Full Stack,19,True
250,104,670cca73e0941d56b05ee5ba,38,Clarus aureus calamitas canonicus tabgo sed.,Data Engineering,98,True
251,220,670cca73e0941d56b05ee52f,245,Aeneus vicissitudo quo deinde aveho alioqui amitto sonitus.,Data Science,34,True
252,221,670cca73e0941d56b05ee318,175,Quibusdam vir delectatio conatus explicabo curtus aperiam sollicito ver.,Full Stack,65,True
253,222,670cca73e0941d56b05ee636,886,Defessus cicuta decor verecundia decor.,Full Stack,63,True
254,179,670cca73e0941d56b05ee523,400,Alveus supellex alii valetudo verbum tactus sol deinde.,Full Stack,94,False
255,223,670cca73e0941d56b05ee39c,153,Capto toties degusto abeo fuga.,Full Stack,48,True
256,224,670cca73e0941d56b05ee4c9,577,Patruus confugo tabernus venio deinde stabilis sopor tepesco speciosus.,Full Stack,85,True
